Timestamp,Service,Environment,CPU_Usage,Memory_Usage,API_Latency_ms,Throughput_rps,Error_Rate,Alert,Uptime_Percent
2024-05-01 00:00:00,Payment Gateway,Production,45.3,62.1,150.2,3500.5,0.005,None,99.998
2024-05-01 00:00:00,User Auth,Production,35.2,55.8,85.3,2800.2,0.002,None,100.0
2024-05-01 00:00:00,Account Service,Production,40.1,58.2,115.8,1950.3,0.003,None,99.999
2024-05-01 00:00:00,Notification Service,Production,30.5,45.3,95.2,1200.1,0.001,None,100.0
2024-05-01 00:00:00,API Gateway,Production,50.2,65.3,180.5,4500.2,0.004,None,99.997
2024-05-01 00:00:00,Payment Gateway,Staging,38.2,57.3,160.3,2100.2,0.015,None,99.95
2024-05-01 00:00:00,User Auth,Staging,30.5,50.2,90.5,1800.5,0.008,None,99.98
2024-05-01 00:00:00,Account Service,Staging,35.8,53.5,125.2,1350.8,0.012,None,99.96
2024-05-01 00:00:00,Notification Service,Staging,25.3,40.2,105.3,950.3,0.005,None,99.99
2024-05-01 00:00:00,API Gateway,Staging,42.5,60.2,195.8,2800.5,0.018,None,99.94
2024-05-01 00:00:00,Payment Gateway,Development,30.2,45.2,185.5,1500.3,0.035,None,99.8
2024-05-01 00:00:00,User Auth,Development,25.3,42.5,110.5,1200.5,0.022,None,99.85
2024-05-01 00:00:00,Account Service,Development,28.5,48.3,140.2,950.8,0.028,None,99.82
2024-05-01 00:00:00,Notification Service,Development,20.5,35.2,115.8,650.2,0.015,None,99.9
2024-05-01 00:00:00,API Gateway,Development,35.8,55.3,220.5,1900.3,0.042,None,99.75
2024-05-01 01:00:00,Payment Gateway,Production,48.5,65.3,155.3,3600.2,0.006,None,99.998
2024-05-01 01:00:00,User Auth,Production,37.8,58.2,88.2,2850.5,0.002,None,100.0
2024-05-01 01:00:00,Account Service,Production,42.5,60.5,118.5,2000.2,0.003,None,99.999
2024-05-01 01:00:00,Notification Service,Production,32.1,47.8,98.5,1250.3,0.001,None,100.0
2024-05-01 01:00:00,API Gateway,Production,52.5,68.2,185.2,4600.5,0.005,None,99.997
2024-05-01 01:00:00,Payment Gateway,Staging,40.5,59.8,165.2,2150.3,0.016,None,99.95
2024-05-01 01:00:00,User Auth,Staging,32.1,52.5,93.8,1850.2,0.009,None,99.98
2024-05-01 01:00:00,Account Service,Staging,37.2,55.8,128.5,1400.5,0.013,None,99.96
2024-05-01 01:00:00,Notification Service,Staging,26.8,42.5,108.2,980.2,0.006,None,99.99
2024-05-01 01:00:00,API Gateway,Staging,45.2,62.5,200.3,2850.2,0.019,None,99.94
2024-05-01 01:00:00,Payment Gateway,Development,32.5,47.8,190.2,1550.2,0.038,None,99.8
2024-05-01 01:00:00,User Auth,Development,27.2,45.2,115.3,1250.3,0.024,None,99.85
2024-05-01 01:00:00,Account Service,Development,30.2,50.5,145.8,980.5,0.03,None,99.82
2024-05-01 01:00:00,Notification Service,Development,21.8,37.5,118.5,680.3,0.016,None,99.9
2024-05-01 01:00:00,API Gateway,Development,38.2,57.8,225.3,1950.2,0.045,None,99.75
